slug,name,family,is_reference_row,d1,d2,d3,d4,d5,d6
training,Training,Reference Baseline,True,parametric-update,build-capability,large-labeled,ad-hoc-permanent|scheduled-permanent,whole-model,dl|fm|llm|ml|mllm
fullft,FT (full),Knowledge Transfer and Task Specialization,False,parametric-update,task-specialization,large-labeled,ad-hoc-permanent|scheduled-permanent,whole-model,dl|fm|llm|mllm
partft,FT (partial),Knowledge Transfer and Task Specialization,False,parametric-update,task-specialization,small-labeled,ad-hoc-permanent|scheduled-permanent,partial,dl|fm|llm|mllm
peft,"PEFT (LoRA, adapters)",Knowledge Transfer and Task Specialization,False,parametric-update,computational-efficiency|task-specialization,small-labeled,ad-hoc-permanent|scheduled-permanent,modular|partial,dl|fm|llm|mllm
reft,ReFT,Knowledge Transfer and Task Specialization,False,parametric-update,task-specialization,small-labeled,ad-hoc-permanent|scheduled-permanent,modular,llm|mllm
da,DA,Knowledge Transfer and Task Specialization,False,parametric-update,distributional-gap-bridging,small-labeled|unlabeled,ad-hoc-permanent|scheduled-permanent,partial,dl|fm
fsl,FSL,Knowledge Transfer and Task Specialization,False,parametric-update,task-specialization,few-demonstrations|small-labeled,ad-hoc-permanent|scheduled-permanent,partial,dl|fm
retraining,Retraining,Temporal Adaptation and Maintenance,False,parametric-update,drift-remediation,sequential-incremental,ad-hoc-permanent|scheduled-permanent,whole-model,dl|fm|llm|ml|mllm
cl,CL,Temporal Adaptation and Maintenance,False,parametric-update,continual-adaptation,sequential-incremental,bounded-cumulative|unbounded-cumulative,partial,dl|fm|llm|mllm
til,TIL,Temporal Adaptation and Maintenance,False,parametric-update,continual-adaptation,sequential-incremental,bounded-cumulative,modular|partial,dl|fm
dil,DIL,Temporal Adaptation and Maintenance,False,parametric-update,continual-adaptation|drift-remediation,sequential-incremental,unbounded-cumulative,partial|whole-model,dl|fm
sft,SFT,"Alignment, Reasoning, and Trustworthiness",False,parametric-update,alignment|safety|task-specialization,instruction-response-corpus,ad-hoc-permanent|scheduled-permanent,partial|whole-model,llm|mllm
rlhf,RLHF (LLM Alignment),"Alignment, Reasoning, and Trustworthiness",False,parametric-update,alignment|safety,preference-pairs,ad-hoc-permanent|scheduled-permanent,partial|surrogate-model|whole-model,llm|mllm
dpo,DPO,"Alignment, Reasoning, and Trustworthiness",False,parametric-update,alignment|safety,preference-pairs,ad-hoc-permanent|scheduled-permanent,partial|whole-model,llm|mllm
rlaif,RLAIF/CAI,"Alignment, Reasoning, and Trustworthiness",False,parametric-update,alignment|safety,constitution-derived,ad-hoc-permanent|scheduled-permanent,partial|whole-model,llm|mllm
rlvr,RLVR/GRPO,"Alignment, Reasoning, and Trustworthiness",False,parametric-update,reasoning,verifiable-task,ad-hoc-permanent|scheduled-permanent,partial|whole-model,llm|mllm
lp,LP,"Alignment, Reasoning, and Trustworthiness",False,parametric-update,explainability,small-labeled,ad-hoc-permanent|scheduled-permanent,modular,dl|fm|llm|mllm
leace,LEACE,"Alignment, Reasoning, and Trustworthiness",False,parameter-composition,fairness,small-labeled,ad-hoc-permanent,partial,dl|fm|llm|mllm
advrstrn,Adversarial Training,"Alignment, Reasoning, and Trustworthiness",False,parametric-update,robustness,large-labeled,ad-hoc-permanent|scheduled-permanent,whole-model,dl|fm|llm
metalrn,Meta-Learning,Training Strategies,False,parametric-update,task-specialization,task-distribution,ad-hoc-permanent|scheduled-permanent,partial,dl|fm
mtl,MTL,Training Strategies,False,parametric-update,task-specialization,task-distribution,ad-hoc-permanent|scheduled-permanent,whole-model,dl|fm|llm|mllm
selfplay,Self-Play,Training Strategies,False,parametric-update,alignment|reasoning|task-specialization,environment-derived,ad-hoc-permanent|scheduled-permanent,whole-model,dl|llm
currilrn,Curriculum Learning,Training Strategies,False,pipeline-mediated,task-specialization,pipeline-dependent,pipeline-dependent,pipeline-dependent,dl|fm|llm|ml|mllm
